Index,Category,1-depth,2-depth,3-depth,Component,Description,Featured,Data,Comment
36,라이브러리,문서,문서 목록,,문서 목록 테이블,"체크박스 / 문서명 / 포맷 / 분류 / 상태 / 청크 수 / 노드·엣지 수 / 작성자 / 등록일",Y,,"예시 7건: 장비매뉴얼_프린터_v2.pdf(완료) / SOP_인쇄공정_v3.docx(완료) / 품질보고서_2026Q1.pdf(파싱 중) / 설비점검_SOP_v3.docx(검수 필요) / 원자재검사기준.xlsx(오류) / SOP_사출공정_v5.hwp(업로드됨) / 배치기록서_LOT2026-0312.pdf(완료)"
37,라이브러리,문서,문서 목록,,페이지네이션,"7건 / 전체 127건 카운트 + 이전/1/2/3/다음 페이지 버튼",,,
38,라이브러리,문서,문서 상세,,← 목록 버튼,문서 목록으로 복귀,,,
39,라이브러리,문서,문서 상세,,문서 제목 + 메타 정보,"파일명 / 작성자 / 등록일 / 처리 상태 배지",,,예시: 장비매뉴얼_프린터_v2.pdf / 박QA팀장 / 2026-03-01
40,라이브러리,문서,문서 상세,,다운로드 버튼,원본 문서 파일 다운로드,,,
41,라이브러리,문서,문서 상세,,재처리 버튼,파이프라인 재실행,,,
42,라이브러리,문서,문서 상세,,삭제 버튼,문서 삭제 (확인 다이얼로그 필수),,,참조 중인 그래프 노드 있으면 경고
43,라이브러리,문서,문서 상세,원본보기 탭,원본 문서 뷰어,"PDF/문서 페이지 렌더링. 줌(−/+) / 페이지 이동(12/48)",Y,,
44,라이브러리,문서,문서 상세,원본보기 탭,문서 정보 사이드패널,"파일명 / 포맷(PDF) / 크기(4.2MB) / 페이지(48) / 청크 수(24) / 추출 노드(47) / 추출 엣지(68)",,,
45,라이브러리,문서,문서 상세,원본보기 탭,처리 파이프라인 상태,"파싱→청킹→OCR→추출→적재 5단계 완료/진행 상태 + 각 단계 소요시간",,,예시: 파싱 완료(1분 23초) / 청킹 완료(42초)
46,라이브러리,문서,문서 상세,원본보기 탭,변경 이력 타임라인,"그래프 구축 완료 / OCR 검수 완료(박QA팀장) / 파싱 완료 / 문서 업로드",,,시간순 역순 표시
47,라이브러리,문서,문서 상세,OCR/문서양식 탭,좌우 대조 뷰 (Split View),"좌: 원본 이미지(페이지 12) / 우: 추출 텍스트(편집 가능)",Y,,"OCR 오인식 예시: 겨리→격리, CP→cP, PH→pH"
48,라이브러리,문서,문서 상세,OCR/문서양식 탭,보정 적용 버튼,수정된 텍스트 저장 후 파이프라인 다음 단계 진행,,,
49,라이브러리,문서,문서 상세,메타데이터 탭,자동 추출 메타데이터 폼,"문서 제목 / 작성자 / 생성일(date) / 문서 분류(셀렉트) / 도메인(셀렉트) / 문서양식 매칭(셀렉트)",Y,,"예시: 장비매뉴얼_type1 (자동 감지)"
50,라이브러리,문서,문서 상세,메타데이터 탭,자동 추출 키워드,"태그 형태 키워드 목록 + 추가 입력 필드",,,예시: #원자재 #규격 #판정기준 #보관조건 #잉크점도 등 10개
51,라이브러리,문서,문서 상세,메타데이터 탭,문서 통계,"총 페이지(48) / 총 문자 수(24,512) / 표 개수(8) / 이미지 개수(12) / 청크 수(24) / 평균 청크 크기(198 tokens) / OCR 오인식률(0.3%)",,,
52,라이브러리,문서,문서 상세,메타데이터 탭,저장 / 초기화 버튼,메타데이터 변경 저장 / 자동 추출값으로 초기화,,,
53,라이브러리,문서,문서 상세,그래프 연결 탭,추출된 엔티티 테이블,"엔티티명 / 타입(장비·원자재·공정·이슈·규정) / 신뢰도 / 관계 수",Y,,"예시 6건: 프린터 헤드(장비/0.95/8) / 잉크 점도(원자재/0.92/5) / 입고 검사(공정/0.91/6) / 인쇄 불량(이슈/0.88/12) / 보관 조건(규정/0.87/3) / 유효기간(규정/0.85/2)"
54,라이브러리,문서,문서 상세,그래프 연결 탭,주요 관계 목록,"노드A → 관계 → 노드B 형태로 표시",,,예시: 프린터 헤드 →사용→ 잉크 / 인쇄 불량 →원인→ 잉크 점도
55,라이브러리,문서,문서 상세,그래프 연결 탭,미니 그래프 미리보기,이 문서에서 추출된 주요 노드/엣지 소형 그래프,,,노드 5개 시각화
56,라이브러리,문서,문서 상세,그래프 연결 탭,그래프 탐색기에서 보기 버튼,지식 그래프 화면 그래프 탐색기 탭으로 이동,,,47개 노드 / 68개 엣지
,,,,,,,,,
,,,,,[자료 (OCR 문서양식)],,,,
57,라이브러리,자료 (OCR 문서양식),,,,,,,
58,라이브러리,자료 (OCR 문서양식),양식 목록 패널 (좌측),,양식 목록,"문서 양식 템플릿 목록. 선택 시 우측 상세 표시",Y,,"예시: 장비매뉴얼_type1(Active) / SOP_type1(Active) / 배치기록_type1(Active) / 검사서_type1(Draft)"
59,라이브러리,자료 (OCR 문서양식),양식 목록 패널 (좌측),,신규 양식 버튼,+ 신규 양식 — 새 문서 양식 템플릿 생성,,,
60,라이브러리,자료 (OCR 문서양식),양식 상세 패널 (우측),,양식 헤더,"양식명 + Active/Draft 배지 + 편집 / 복제 / 삭제 버튼",,,
61,라이브러리,자료 (OCR 문서양식),양식 상세 패널 (우측),,연결된 파일 테이블,"이 양식이 적용된 문서 파일 목록 (파일명 / 페이지 수 / 상태)",Y,,"예시: 장비매뉴얼_프린터_v2.pdf(48p/완료) / 장비매뉴얼_롤러_v1.pdf(32p/완료) / 장비매뉴얼_코터_v1.pdf(18p/검수 중) 외 3건. 총 7건"
62,라이브러리,자료 (OCR 문서양식),양식 상세 패널 (우측),,표지/제목 규칙 설정,"제목 계층 구조 셀렉트(2단계/3단계/4단계) / 표기 기준 셀렉트(숫자 기반/한글 기반/혼합)",,,기본값: 3단계 / 숫자 기반
63,라이브러리,자료 (OCR 문서양식),양식 상세 패널 (우측),,검출 유형 토글,"헤더·꼬리말(ON) / 페이지 번호(ON) / 표 구조(ON) / 이미지·캡션(ON) / 수식(OFF)",,,5개 항목 각각 ON/OFF
64,라이브러리,자료 (OCR 문서양식),양식 상세 패널 (우측),,스캔 시작 단어 패턴,"OCR 스캔 시작 키워드 입력 (예: 목차 / 서론 / 제1장)",,,
65,라이브러리,자료 (OCR 문서양식),양식 상세 패널 (우측),,문서 미리보기,"선택 양식이 적용된 페이지 렌더링. 표 구조 하이라이트(노란 테두리) / 자동 매핑 영역 하이라이트(파란 테두리)",Y,,
,,,,,,,,,
,,,,,[데이터베이스],,,,
66,라이브러리,데이터베이스,,,,,,,
67,라이브러리,데이터베이스,DB 목록 사이드바 (좌측),,데이터베이스 목록,"DB별 이름 / 항목 수 / 필드 수 표시. 선택 시 우측 테이블 표시",Y,,"예시: 설비 관리 대장(24/8) / 원자재 입고 이력(156/12) / 불량 유형 코드(42/6) / SOP 개정 이력(89/9) / 공정 파라미터(18/14)"
68,라이브러리,데이터베이스,DB 목록 사이드바 (좌측),,새 DB 버튼,+ 새 DB — 새 데이터베이스 생성,,,
69,라이브러리,데이터베이스,DB 목록 사이드바 (좌측),,일괄 가져오기 버튼,CSV/JSON 파일로 데이터 일괄 가져오기,,,
70,라이브러리,데이터베이스,DB 목록 사이드바 (좌측),,일괄 내보내기 버튼,현재 DB 데이터를 CSV/JSON으로 내보내기,,,
71,라이브러리,데이터베이스,DB 상세 영역 (우측),,DB 헤더,"DB 이름 표시 + ""+ 업로드"" 버튼",,,예시: 설비 관리 대장
72,라이브러리,데이터베이스,DB 상세 영역 (우측),,검색 바,항목 텍스트 검색,,,
73,라이브러리,데이터베이스,DB 상세 영역 (우측),,활성 필터 태그,"필터 조건을 태그로 표시. × 클릭 제거 / + 필터 추가 버튼",,,"예시: 상태 = 가동중 / 점검일 < 30일"
74,라이브러리,데이터베이스,DB 상세 영역 (우측),,정렬 셀렉트,설비명↑ / 최근 점검일 / 상태 / 등록일 기준 정렬,,,
75,라이브러리,데이터베이스,DB 상세 영역 (우측),,데이터 테이블,"체크박스 / 설비명(Aa) / 설비코드(Aa) / 공정(#) / 상태(#) / 최근 점검일(📅) / 다음 점검(📅) / 담당자(Aa) / 관련 문서(🔗)",Y,,"예시 6건: 오프셋 인쇄기 A-1(가동중) / UV 건조기 B-2(가동중) / 잉크 교반기 C-1(점검중) / CTP 출력기 D-1(가동중) / 재단기 E-2(고장/지연) / 코팅기 F-1(가동중)"
76,라이브러리,데이터베이스,DB 상세 영역 (우측),,페이지네이션,"1 - 6 / 24 + 이전/다음",,,
,,,,,,,,,
,,,,,[지식그래프],,,,
77,라이브러리,지식그래프,,,,,,,
78,라이브러리,지식그래프,그래프 탐색기 탭,,,,,,
79,라이브러리,지식그래프,그래프 탐색기 탭,그래프 캔버스 (좌측),노드 검색 입력,노드 이름으로 검색하여 포커스,Y,,
80,라이브러리,지식그래프,그래프 탐색기 탭,그래프 캔버스 (좌측),타입 필터 셀렉트,전체 타입 / 장비 / 공정 / 원자재 / 이슈,,,기본값: 전체 타입
81,라이브러리,지식그래프,그래프 탐색기 탭,그래프 캔버스 (좌측),2D / 3D 전환 버튼,그래프 렌더링 모드 전환,,,기본값: 2D
82,라이브러리,지식그래프,그래프 탐색기 탭,그래프 캔버스 (좌측),리셋 버튼,뷰 초기화 (줌/위치 리셋),,,
83,라이브러리,지식그래프,그래프 탐색기 탭,그래프 캔버스 (좌측),그래프 캔버스,"노드(draggable) + 엣지(SVG line) 인터랙티브 그래프. 줌인/아웃 / 패닝",Y,,"예시 노드 8개: 인쇄 불량(이슈) / 프린터 헤드(장비) / 잉크(원자재) / 인쇄공정(공정) / SOP_인쇄공정(문서) / 품질기준서_v2(문서) / 박QA팀장(작업자) / 설비점검(공정)"
84,라이브러리,지식그래프,그래프 탐색기 탭,그래프 캔버스 (좌측),범례 (Legend),"6개 노드 타입 색상: 이슈(빨강) / 장비(보라) / 공정(노랑) / 원자재(파랑) / 문서(초록) / 작업자(청록). 전체 노드 1,284 / 엣지 2,031 수치 표시",,,필터 / 전체보기 버튼
85,라이브러리,지식그래프,그래프 탐색기 탭,노드 상세 패널 (우측),선택된 노드 정보,"노드 ID(ISS-2026-0045) / 타입(이슈) / 생성일 / 출처 문서 / 신뢰도(0.92) / 관련 노드 수(7개)",Y,,예시: 인쇄 불량 노드 선택 상태
86,라이브러리,지식그래프,그래프 탐색기 탭,노드 상세 패널 (우측),속성 편집 폼,"이름 입력 / 타입 셀렉트(장비·공정·원자재·이슈·문서·작업자) / 설명 textarea",,,저장 / 삭제 버튼
87,라이브러리,지식그래프,그래프 탐색기 탭,노드 상세 패널 (우측),연결된 엣지 목록,"선택 노드에 연결된 엣지를 A →관계→ B 형태 표시. + 엣지 추가 / 엣지 편집 버튼",,"예시 7건: 인쇄 불량→원인→잉크, 인쇄 불량→원인→프린터 헤드, 인쇄 불량→발생→인쇄공정 등",
88,라이브러리,지식그래프,그래프 탐색기 탭,노드 상세 패널 (우측),원본 추적,"원본 문서명 / 페이지 / 청크# / 본문 발췌. ""원본 문서로 이동"" 버튼",Y,,"예시: 장비매뉴얼_프린터_v2.pdf 페이지12 청크#7 / SOP_인쇄공정_v3.docx 페이지5 청크#3"
89,라이브러리,지식그래프,그래프 탐색기 탭,노드 상세 패널 (우측),오류 플래그,"그래프 무결성 오류 표시. 수정 / 연결 / 삭제 / 무시 버튼",,"예시 2건: ①순환 참조(인쇄불량→잉크→입고검사→인쇄불량), ②고립 노드(포장기_02 연결 없음)",
90,라이브러리,지식그래프,온톨로지 관리 탭,,,,,,
91,라이브러리,지식그래프,온톨로지 관리 탭,온톨로지 정의,엔티티 타입 테이블,"색상 / 이름 / 설명 / 노드 수. + 엔티티 타입 추가 / 편집 버튼",Y,,"예시 6건: 장비(218) / 공정(87) / 원자재(156) / 품질기준(134) / 작업자(42) / 이슈(95)"
92,라이브러리,지식그래프,온톨로지 관리 탭,온톨로지 정의,관계 타입 테이블,"이름 / 방향(단방향·양방향) / 설명 / 엣지 수. + 관계 타입 추가 / 편집 버튼",Y,,"예시 5건: 포함(412) / 원인(287) / 참조(534) / 수행(198) / 생산(143)"
93,라이브러리,지식그래프,온톨로지 관리 탭,추출 현황,엔티티/관계 추출 현황,"추출 엔티티(1,284) / 관계(2,031) / 평균 신뢰도(0.87) / 마지막 추출 시간 / 처리 문서(127건 중 118건 완료) / 추출 모델(GPT-4o 프롬프트 v3.2)",Y,,추출 실행 / 프롬프트 설정 버튼
94,라이브러리,지식그래프,온톨로지 관리 탭,실체 연결,병합 후보 목록,"동의어·약어·코드명 동일 대상 자동 감지. 병합 / 무시 버튼",Y,,"예시 4쌍: 인쇄기=프린터=PRN-01 / SOP=표준작업절차서=작업표준서 / QA팀=품질보증팀=품질관리팀 / 잉크점도=INK Viscosity=점도. 병합완료 23쌍 / 미처리 4쌍"
95,라이브러리,지식그래프,온톨로지 관리 탭,커뮤니티 감지,클러스터 테이블,"클러스터명 / 주요 노드 / 노드 수 / 밀도. 재분석 / 클러스터 상세 버튼",,,"예시 4건: 인쇄공정(218/0.78) / 원자재관리(156/0.72) / 품질검사(134/0.65) / 설비관리(98/0.61)"
96,라이브러리,지식그래프,온톨로지 관리 탭,요약 생성,요약 및 설명 생성 현황,"노드 설명 생성(1,198/1,284=93.3%) / 엣지 설명(1,847/2,031=90.9%) / 커뮤니티 요약(4/4=100%) / 벡터화 완료. 프로그레스 바",,,미완료 생성 / 전체 재생성 버튼
97,라이브러리,지식그래프,사전/매핑 탭,,,,,,
98,라이브러리,지식그래프,사전/매핑 탭,동의어 사전,동의어 테이블,"대표어 / 동의어 태그 / 적용 범위(전체·도메인별). + 동의어 추가 / 편집 버튼",Y,,"예시 6건: 프린터(인쇄기/PRN-01/Printer) / SOP(표준작업절차서/작업표준서) / 잉크 점도(INK Viscosity/점도) / 품질보증팀(QA팀/품질관리팀/QC팀) / 롤러(Roller/압착롤러/ROL-A) / 부적합(불합격/NG/Reject)"
99,라이브러리,지식그래프,사전/매핑 탭,불용어 관리,불용어 태그 목록,"불용어 태그 × 제거 + 추가 입력 필드",,,예시 12개: 페이지 / 그림 / 참고 / 번호 / 항목 / 이하 / 이상 / 다음 / 경우 / 기준 / 관련 / 해당
100,라이브러리,지식그래프,사전/매핑 탭,엔티티 매핑,매핑 규칙 테이블,"규칙명 / 정규식 패턴 / 매핑 대상 타입 / 활성·비활성 상태. + 규칙 추가 / 편집 버튼",,,"예시 4건: 장비코드매핑(/[A-Z]{3}-\d{2}/→장비/활성) / SOP문서매핑(/SOP_.+/→SOP/활성) / LOT번호매핑(/LOT\d{4}-\d{4}/→배치/활성) / 온도규격매핑(/\d+~\d+℃/→품질기준/비활성)"
101,라이브러리,지식그래프,변경 이력 탭,,,,,,
102,라이브러리,지식그래프,변경 이력 탭,이력 메인 (좌측),유형 필터 셀렉트,전체 유형 / 노드 추가 / 노드 수정 / 노드 삭제 / 엣지 추가 / 엣지 삭제,,,
103,라이브러리,지식그래프,변경 이력 탭,이력 메인 (좌측),기간 필터 셀렉트,최근 7일 / 최근 30일 / 전체,,,
104,라이브러리,지식그래프,변경 이력 탭,이력 메인 (좌측),변경 이력 테이블,"시간 / 작업자(시스템·사용자) / 유형(노드 추가·수정·삭제·엣지 추가·삭제·병합) / 대상 / 상세 / 롤백 버튼",Y,,"예시 8건: 설비점검_SOP 노드 추가(시스템) / 엣지 추가(시스템) / 인쇄 불량 설명 수정(박QA팀장) / 인쇄불량→설비점검 엣지 추가(박QA팀장) / 프린터+인쇄기 병합(시스템) / 잉크→포장기 엣지 삭제(이품질) / +147개 노드 일괄(시스템) / +203개 엣지 일괄(시스템)"
105,라이브러리,지식그래프,변경 이력 탭,이력 요약 (우측),이력 요약,"총 변경 수(842) / 수동 편집(67) / 자동 추출(741) / 실체 병합(23) / 롤백 횟수(11)",,,
106,라이브러리,지식그래프,변경 이력 탭,이력 요약 (우측),최근 7일 활동 타임라인,"일별 변경 요약 — 03-16 노드+2 엣지+3 / 03-15 수동편집 2건 / 03-14 병합1 삭제1 / 03-13 대규모추출 +147노드 +203엣지",,,
107,라이브러리,지식그래프,변경 이력 탭,이력 요약 (우측),스냅샷 관리,"버전별 스냅샷 목록 + 복원 버튼 + 스냅샷 저장 버튼",Y,,"예시: v3.2(03-16 09:30) / v3.1(03-13 17:00) / v3.0(03-01 12:00)"
,,,,,,,,,
,,,,,[관리 및 설정],,,,
108,설정,관리 및 설정,,,,,,,
109,설정,관리 및 설정,도메인관리 탭,,워크스페이스 테이블 (좌측),"도메인명 / 공장·부서 / 문서 수 / 노드 수 / 생성일 / 상태(Active·Setup). + 새 워크스페이스 버튼",Y,,"예시 3건: 인쇄공정 A공장품질팀(127/1,284/Active) / 포장공정 A공장포장팀(84/712/Active) / 품질관리 본사QA팀(23/156/Setup)"
110,설정,관리 및 설정,도메인관리 탭,,도메인 이름 / 소속 입력 (우측),"도메인 이름 입력 / 소속 공장·부서 입력",,,예시: 인쇄공정 / A공장 품질팀
111,설정,관리 및 설정,도메인관리 탭,,전용 인덱스,"전용 인덱스명 표시 (읽기전용)",,,예시: idx_print_qa
112,설정,관리 및 설정,도메인관리 탭,,프롬프트 페르소나 셀렉트,"제조 품질 전문가 v2 / 안전관리 어시스턴트 / 설비 진단 전문가",,,
113,설정,관리 및 설정,도메인관리 탭,,연결된 동의어 사전,"인쇄공정 전용 사전(42개 항목) / 공통 제조 사전(128개 항목). 각각 편집 버튼",,,
114,설정,관리 및 설정,도메인관리 탭,,접근 권한 그룹 토글,"팀별 접근 수준 ON/OFF. A공장 품질팀(전체접근/ON) / A공장 생산팀(읽기전용/ON) / 본사 QA팀(읽기전용/ON) / 외부 감사(제한적/OFF)",,,4개 그룹
115,설정,관리 및 설정,도메인관리 탭,,설정 저장 / 워크스페이스 삭제 버튼,"변경 저장 및 워크스페이스 삭제(확인 필요)",,,
116,설정,관리 및 설정,MCP 도구 관리 탭,,MCP 서버 목록 테이블,"서버명 / Type(HTTP·SSE) / Endpoint / Health(OK·Slow·Down) / 활성 토글. 새로고침 / + 등록 버튼",Y,,"예시 5건: Document Parser(HTTP/OK) / Graph Builder(SSE/OK) / n8n Workflow(HTTP/Slow) / 사내 DB 연동(HTTP/OK) / 외부 API Gateway(HTTP/Down·비활성)"
117,설정,관리 및 설정,MCP 도구 관리 탭,,신규 MCP 서버 등록 폼,"+ 등록 클릭 시 폼 표시. 서버 이름 / Type 셀렉트(HTTP·SSE·WebSocket) / Endpoint / 인증 방식(Bearer·API Key·OAuth·없음) / 인증 토큰(password) / 자동 동기화 토글(ON) / Health Check 자동 실행 토글(ON)",Y,,서버 등록 / 연결 테스트 / 닫기 버튼
118,설정,관리 및 설정,Tool 관리 탭,,Tool-use 제어 매트릭스,"Tool명 × Agent 매트릭스. 각 셀에 ON/OFF 토글. 변경사항 저장 버튼",Y,,"6 tools(document_search·graph_query·db_read·db_write·n8n_trigger·external_api) × 3 agents(품질관리·문서처리·검색)"
119,설정,관리 및 설정,Tool 관리 탭,,Tool Registry 테이블,"도구명(monospace) / 설명 / 소속 서버 / 상태(dot) / 활성 토글. 전체 동기화 / + 도구 등록 버튼",Y,,"예시 7건: document_search(문서 전문 검색/Parser/ON) / graph_query(지식 그래프 쿼리/Graph/ON) / embedding(텍스트 벡터 임베딩/Graph/ON) / db_read(사내 DB 읽기/ON) / db_write(사내 DB 쓰기/OFF) / n8n_trigger(워크플로 실행/OFF) / external_api(외부 API 호출/Down/OFF)"
,,,,,,,,,
,,,,,[파이프라인],,,,
120,설정,파이프라인,,,,,,,
121,설정,파이프라인,파싱 탭,,KPI 카드 (3개),"파싱 성공률(94.7% ▲+1.3%) / 파싱 실패 문서(5건/94건) / 평균 처리 시간(0.8초/페이지 목표1.5이하)",Y,,
122,설정,파이프라인,파싱 탭,,OCR 검수 Before/After,"좌: 원본 문서 이미지 / 우: 파싱 결과 텍스트 — 대조 비교",Y,,Split View
123,설정,파이프라인,파싱 탭,,파싱 오류 로그 테이블,"시간 / 문서명 / 오류 유형(표 인식 실패·파싱 실패) / 재처리·무시 버튼",,,기간 필터(오늘/7일/전체). 예시 2건
124,설정,파이프라인,파싱 탭,,파싱 설정 패널 (우측),"OCR 엔진 셀렉트(Tesseract·Clova OCR·Google Vision) / 포맷별 ON/OFF 토글(PDF·DOCX·HWP·XLSX/CSV)",,,기본값: Tesseract / 전체 ON
125,설정,파이프라인,파싱 탭,,구조 인식 옵션 토글,"표 구조 보존(ON) / 이미지·캡션 결합(ON) / 수식 인식(OFF) / 헤더·꼬리말 제외(ON)",,,
126,설정,파이프라인,청킹 탭,,KPI 카드 (3개),"청크 정확도(87.3% ▲+2.1%) / 오류 청크(23건/312건) / 처리 속도(1.2초/MB 목표2.0이하)",Y,,
127,설정,파이프라인,청킹 탭,,Before/After 비교,"좌: 기존 청킹(표 데이터가 두 청크로 분리→문맥 손실) / 우: 개선 청킹(표 전체가 하나의 청크로 보존)",Y,,
128,설정,파이프라인,청킹 탭,,단계별 오류 로그 테이블,"시간 / 문서명 / 오류 유형(표 인식 실패·배선 관계 누락·이미지 캡션 누락·파싱 실패) / 재처리·확인·무시 버튼",,,기간 필터. 예시 4건
129,설정,파이프라인,청킹 탭,,청크 설정 패널 (우측),"방식 셀렉트(의미 기반 Semantic·고정 토큰·문단 기준) / 최대 토큰 입력(512) / 오버랩 입력(50)",,,기본값: 의미 기반 / 512 / 50
130,설정,파이프라인,청킹 탭,,평가 로그 타임라인,"청크 완료(87.3%/42초) / 표 구조 경고 / 파싱 고정 완료 / 청크 오류(이미지·캡션 분리 오류) 시간순 로그",,,
131,설정,파이프라인,청킹 탭,,구조 인식 옵션 토글,"표 구조 보존(ON) / 이미지·캡션 결합(ON) / 수식 인식(OFF) / 헤더·꼬리말 제외(ON)",,,파싱 탭과 동일 항목
132,설정,파이프라인,전체모니터 탭,,상태 필터 셀렉트,전체 상태 / 진행 중 / 실패 / 완료,,,
133,설정,파이프라인,전체모니터 탭,,기간 필터 셀렉트,오늘 / 최근 7일 / 최근 30일,,,
